X0 Y0 Theta0 VX0 VY0 L0 FX0 FY0 T0 X1 Y1 Theta1 VX1 VY1 L1 FX1 FY1 T1 Time Energy
-0.5000  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.5000  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  1.0000 
-0.5000  0.0000  0.1000  0.0000  0.0000  1.0000  0.0000 -1.2000 -1.2000  0.5000  0.0000  0.1000  0.0000  0.0000  1.0000  0.0000  1.2000  1.2000  0.1000  0.9400 
-0.5000 -0.0120  0.1880  0.0000 -0.1200  0.8800  0.0510 -2.1114 -1.6801  0.5000  0.0120  0.2120  0.0000  0.1200  1.1200 -0.0510  2.1114  1.6801  0.2000  0.8426 
-0.4995 -0.0451  0.2592  0.0051 -0.3311  0.7120  0.2296 -2.5086 -1.0503  0.4995  0.0451  0.3408 -0.0051  0.3311  1.2880 -0.2296  2.5086  1.0503  0.3000  0.9249 
-0.4967 -0.1033  0.3199  0.0281 -0.5820  0.6070  0.4907 -2.2870  0.5447  0.4967  0.1033  0.4801 -0.0281  0.5820  1.3930 -0.4907  2.2870 -0.5447  0.4000  1.2533 
-0.4890 -0.1844  0.3860  0.0771 -0.8107  0.6614  0.6325 -1.5493  2.4297  0.4890  0.1844  0.6140 -0.0771  0.8107  1.3386 -0.6325  1.5493 -2.4297  0.5000  1.6363 
-0.4749 -0.2809  0.4765  0.1404 -0.9656  0.9044  0.4913 -0.6270  3.6569  0.4749  0.2809  0.7235 -0.1404  0.9656  1.0956 -0.4913  0.6270 -3.6569  0.6000  1.9102 
-0.4560 -0.3838  0.6035  0.1895 -1.0283  1.2701  0.1497  0.1202  3.4698  0.4560  0.3838  0.7965 -0.1895  1.0283  0.7299 -0.1497 -0.1202 -3.4698  0.7000  2.1661 
-0.4355 -0.4854  0.7652  0.2045 -1.0163  1.6171 -0.1496  0.5431  1.7268  0.4355  0.4854  0.8348 -0.2045  1.0163  0.3829  0.1496 -0.5431 -1.7268  0.8000  2.4900 
-0.4166 -0.5816  0.9442  0.1895 -0.9620  1.7898 -0.2295  0.6943 -0.9995  0.4166  0.5816  0.8558 -0.1895  0.9620  0.2102  0.2295 -0.6943  0.9995  0.9000  2.6594 
-0.3999 -0.6709  1.1132  0.1666 -0.8926  1.6898 -0.0547  0.6869 -3.6750  0.3999  0.6709  0.8868 -0.1666  0.8926  0.3102  0.0547 -0.6869  3.6750  1.0000  2.4260 
-0.3838 -0.7533  1.2454  0.1611 -0.8239  1.3223  0.3185  0.6130 -5.2395  0.3838  0.7533  0.9546 -0.1611  0.8239  0.6777 -0.3185 -0.6130  5.2395  1.1000  2.0049 
-0.3645 -0.8295  1.3252  0.1930 -0.7626  0.7984  0.8018  0.5348 -5.0271  0.3645  0.8295  1.0748 -0.1930  0.7626  1.2016 -0.8018 -0.5348  5.0271  1.2000  1.9466 
-0.3372 -0.9004  1.3548  0.2731 -0.7091  0.2957  1.3074  0.4960 -3.0229  0.3372  0.9004  1.2452 -0.2731  0.7091  1.7043 -1.3074 -0.4960  3.0229  1.3000  2.4475 
-0.2968 -0.9664  1.3541  0.4039 -0.6595 -0.0066  1.7592  0.5286  0.1249  0.2968  0.9664  1.4459 -0.4039  0.6595  2.0066 -1.7592 -0.5286 -0.1249  1.4000  3.0322 
-0.2388 -1.0270  1.3547  0.5798 -0.6066  0.0059  2.0943  0.6514  3.3380  0.2388  1.0270  1.6453 -0.5798  0.6066  1.9941 -2.0943 -0.6514 -3.3380  1.5000  3.1159 
-0.1599 -1.0812  1.3887  0.7892 -0.5415  0.3396  2.2634  0.8640  5.4950  0.1599  1.0812  1.8113 -0.7892  0.5415  1.6604 -2.2634 -0.8640 -5.4950  1.6000  2.7801 
-0.0584 -1.1267  1.4776  1.0156 -0.4551  0.8891  2.2336  1.1424  5.8352  0.0584  1.1267  1.9224 -1.0156  0.4551  1.1109 -2.2336 -1.1424 -5.8352  1.7000  2.7447 
 0.0655 -1.1608  1.6249  1.2389 -0.3409  1.4727  1.9957  1.4400  4.2313 -0.0655  1.1608  1.9751 -1.2389  0.3409  0.5273 -1.9957 -1.4400 -4.2313  1.8000  3.5122 
 0.2094 -1.1805  1.8144  1.4385 -0.1968  1.8958  1.5714  1.6983  1.2363 -0.2094  1.1805  1.9856 -1.4385  0.1968  0.1042 -1.5714 -1.6983 -1.2363  1.9000  4.7311 
 0.3689 -1.1832  2.0164  1.5956 -0.0270  2.0194  1.0139  1.8651 -2.1129 -0.3689  1.1832  1.9836 -1.5956  0.0270 -0.0194 -1.0139 -1.8651  2.1129  2.0000  5.5821 
 0.5386 -1.1672  2.1972  1.6970  0.1595  1.8081  0.3969  1.9134 -4.6612 -0.5386  1.1672  2.0028 -1.6970 -0.1595  0.1919 -0.3969 -1.9134  4.6612  2.1000  5.7173 
 0.7123 -1.1321  2.3314  1.7367  0.3508  1.3420 -0.2055  1.8499 -5.5415 -0.7123  1.1321  2.0686 -1.7367 -0.3508  0.6580  0.2055 -1.8499  5.5415  2.2000  5.5974 
 0.8839 -1.0786  2.4102  1.7162  0.5358  0.7879 -0.7382  1.7081 -4.4784 -0.8839  1.0786  2.1898 -1.7162 -0.5358  1.2121  0.7382 -1.7081  4.4784  2.3000  5.8424 
 1.0482 -1.0079  2.4442  1.6424  0.7066  0.3400 -1.1741  1.5321 -1.8813 -1.0482  1.0079  2.3558 -1.6424 -0.7066  1.6600  1.1741 -1.5321  1.8813  2.4000  6.4455 
 1.2007 -0.9219  2.4594  1.5249  0.8598  0.1519 -1.5116  1.3606  1.3038 -1.2007  0.9219  2.5406 -1.5249 -0.8598  1.8481  1.5116 -1.3606 -1.3038  2.5000  6.8352 
